tx_id,product_id,trans_date,amt,qty
88,CS5195,01-Apr-13,47,3
89,CS1922,01-Apr-13,38,3
90,CS1400,01-Apr-13,87,1
91,CS2985,01-Apr-13,66,1
92,CS1500,01-Apr-13,96,1
93,CS5872,01-Apr-13,70,2
94,CS1616,01-Apr-13,90,1
95,CS3272,01-Apr-13,55,2
96,CS3655,01-Apr-13,48,1
97,CS1524,01-Apr-13,75,1
98,CS1857,01-Apr-13,52,2
99,CS5650,01-Apr-13,41,3
100,CS1280,01-Apr-13,68,3
101,CS2956,01-Apr-13,76,2
102,CS5586,01-Apr-13,55,2
103,CS3657,01-Apr-13,89,3
104,CS1255,01-Apr-13,43,2
105,CS3248,01-Apr-13,76,2
106,CS4120,01-Apr-13,39,1
107,CS5074,01-Apr-13,76,2
108,CS3571,01-Apr-13,71,3
109,CS5156,01-Apr-13,93,1
110,CS2880,01-Apr-13,85,2
111,CS5865,01-Apr-13,42,1
112,CS3894,01-Apr-13,99,1
113,CS3626,01-Apr-13,48,1
114,CS3438,01-Apr-13,84,1
115,CS5726,01-Apr-13,42,1
116,CS5746,01-Apr-13,95,3
117,CS3432,01-Apr-13,53,3
118,CS1715,01-Apr-13,100,2
119,CS5661,01-Apr-13,64,2
120,CS5826,01-Apr-13,66,1
121,CS2208,01-Apr-13,48,1
122,CS4473,01-Apr-13,71,3
123,CS3645,01-Apr-13,40,2
124,CS3710,01-Apr-13,47,3
125,CS3701,01-Apr-13,102,1
126,CS5136,01-Apr-13,95,3
127,CS1982,01-Apr-13,48,1
128,CS1401,01-Apr-13,42,1
129,CS3592,01-Apr-13,81,1
130,CS5479,01-Apr-13,95,3
131,CS2121,01-Apr-13,105,1
132,CS3131,01-Apr-13,75,1
133,CS4604,01-Apr-13,100,2
134,CS5699,01-Apr-13,49,2
135,CS5596,01-Apr-13,43,2
136,CS2273,01-Apr-13,53,3
137,CS3474,01-Apr-13,38,3
138,CS3942,01-Apr-13,96,1
139,CS3918,01-Apr-13,84,1
140,CS1950,01-Apr-13,59,3
141,CS7512,01-Apr-13,64,2
142,CS7425,01-Apr-13,19,2
143,CS7922,01-Apr-13,77,3
144,CS7400,01-Apr-13,20,3
145,CS8985,01-Apr-13,18,1
146,CS7500,01-Apr-13,65,3
147,CS7616,01-Apr-13,37,2
148,CS7524,01-Apr-13,20,3
149,CS8956,01-Apr-13,54,1
150,CS7255,01-Apr-13,10,2
151,CS8880,01-Apr-13,34,2
152,CS7982,01-Apr-13,70,2
153,CS8121,01-Apr-13,30,1
154,CS8273,01-Apr-13,72,1
155,CS5356,01-Apr-14,91,2
156,CS1986,01-Apr-14,100,2
157,CS2886,01-Apr-14,69,1
158,CS4484,01-Apr-14,95,3
159,CS5528,01-Apr-14,56,3
160,CS1140,01-Apr-14,36,1
161,CS5459,01-Apr-14,59,3
162,CS4740,01-Apr-14,46,2
163,CS2561,01-Apr-14,59,3
164,CS2994,01-Apr-14,71,3
165,CS3153,01-Apr-14,42,1
166,CS1578,01-Apr-14,84,1
167,CS3216,01-Apr-14,99,1
168,CS4065,01-Apr-14,105,1
169,CS5489,01-Apr-14,39,1
170,CS2831,01-Apr-14,50,3
171,CS3266,01-Apr-14,70,2
172,CS2882,01-Apr-14,44,3
173,CS2870,01-Apr-14,85,2
174,CS4951,01-Apr-14,58,2
175,CS3515,01-Apr-14,74,3
176,CS5812,01-Apr-14,89,3
177,CS3904,01-Apr-14,73,2
178,CS5833,01-Apr-14,105,1
179,CS2357,01-Apr-14,102,1
180,CS1786,01-Apr-14,72,1
181,CS4318,01-Apr-14,96,1
182,CS5720,01-Apr-14,51,1
183,CS4928,01-Apr-14,39,1
184,CS3891,01-Apr-14,44,3
185,CS1238,01-Apr-14,77,3
186,CS6098,01-Apr-14,38,3
187,CS3473,01-Apr-14,68,3
188,CS5952,01-Apr-14,43,2
189,CS3644,01-Apr-14,55,2
190,CS3496,01-Apr-14,91,2
191,CS2730,01-Apr-14,55,2
192,CS1428,01-Apr-14,100,2
193,CS2400,01-Apr-14,100,2
194,CS2132,01-Apr-14,95,3
195,CS1900,01-Apr-14,82,2
196,CS1773,01-Apr-14,39,1
197,CS3509,01-Apr-14,102,1
198,CS4252,01-Apr-14,91,2
199,CS3444,01-Apr-14,86,3
200,CS1414,01-Apr-14,101,3
201,CS4826,01-Apr-14,86,3
202,CS5133,01-Apr-14,56,3
203,CS5691,01-Apr-14,88,2
204,CS6056,01-Apr-14,79,2
205,CS4637,01-Apr-14,101,3
206,CS3035,01-Apr-14,60,1
207,CS3197,01-Apr-14,105,1
208,CS5736,01-Apr-14,41,3
209,CS1879,01-Apr-14,55,2
210,CS5155,01-Apr-14,84,1
211,CS1854,01-Apr-14,79,2
212,CS3909,01-Apr-14,50,3
213,CS4941,01-Apr-14,55,2
214,CS3672,01-Apr-14,75,1
215,CS1484,01-Apr-14,70,2
216,CS1261,01-Apr-14,57,1
217,CS2487,01-Apr-14,83,3
218,CS5354,01-Apr-14,43,2
219,CS2656,01-Apr-14,71,3
220,CS3895,01-Apr-14,92,3
221,CS4908,01-Apr-14,86,3
222,CS1997,01-Apr-14,63,1
223,CS5568,01-Apr-14,38,3
224,CS2530,01-Apr-14,84,1
225,CS3299,01-Apr-14,83,3
226,CS5193,01-Apr-14,50,3
227,CS5364,01-Apr-14,61,2
228,CS2118,01-Apr-14,52,2
229,CS3678,01-Apr-14,79,2
230,CS7986,01-Apr-14,64,2
231,CS8886,01-Apr-14,72,1
232,CS7140,01-Apr-14,27,1
233,CS8561,01-Apr-14,41,3
234,CS8994,01-Apr-14,73,2
235,CS7578,01-Apr-14,59,3
236,CS8831,01-Apr-14,29,3
237,CS8870,01-Apr-14,53,3
238,CS7786,01-Apr-14,26,3
239,CS7238,01-Apr-14,68,3
240,CS8730,01-Apr-14,57,1
241,CS7428,01-Apr-14,62,3
242,CS8132,01-Apr-14,61,2
243,CS7773,01-Apr-14,23,3
244,CS7414,01-Apr-14,43,2
245,CS7879,01-Apr-14,25,2
246,CS7854,01-Apr-14,54,1
247,CS7484,01-Apr-14,51,1
248,CS8487,01-Apr-14,65,3
249,CS8656,01-Apr-14,49,2
250,CS8530,01-Apr-14,57,1
251,CS2860,01-Aug-11,78,1
252,CS1820,01-Aug-11,74,3
253,CS5676,01-Aug-11,59,3
254,CS5778,01-Aug-11,47,3
255,CS2124,01-Aug-11,45,1
256,CS4964,01-Aug-11,97,2
257,CS5508,01-Aug-11,48,1
258,CS2346,01-Aug-11,37,2
259,CS5176,01-Aug-11,50,3
260,CS1476,01-Aug-11,94,2
261,CS2488,01-Aug-11,41,3
262,CS5537,01-Aug-11,97,2
263,CS2890,01-Aug-11,94,2
264,CS4315,01-Aug-11,92,3
265,CS5217,01-Aug-11,45,1
266,CS5489,01-Aug-11,97,2
267,CS3163,01-Aug-11,97,2
268,CS2873,01-Aug-11,41,3
269,CS3105,01-Aug-11,67,2
270,CS4134,01-Aug-11,45,1
271,CS2811,01-Aug-11,41,3
272,CS3467,01-Aug-11,55,2
273,CS3367,01-Aug-11,51,1
274,CS2238,01-Aug-11,84,1
275,CS4300,01-Aug-11,100,2
276,CS2975,01-Aug-11,87,1
277,CS4608,01-Aug-11,61,2
278,CS2965,01-Aug-11,53,3
279,CS5688,01-Aug-11,68,3
280,CS6103,01-Aug-11,69,1
281,CS5499,01-Aug-11,87,1
282,CS3109,01-Aug-11,59,3
283,CS6049,01-Aug-11,86,3
284,CS3399,01-Aug-11,61,2
285,CS4826,01-Aug-11,62,3
286,CS5886,01-Aug-11,59,3
287,CS2469,01-Aug-11,80,3
288,CS3206,01-Aug-11,93,1
289,CS6011,01-Aug-11,90,1
290,CS4998,01-Aug-11,77,3
291,CS2005,01-Aug-11,84,1
292,CS2585,01-Aug-11,101,3
293,CS3503,01-Aug-11,80,3
294,CS5724,01-Aug-11,63,1
295,CS4325,01-Aug-11,96,1
296,CS6063,01-Aug-11,54,1
297,CS4888,01-Aug-11,81,1
298,CS5165,01-Aug-11,43,2
299,CS1953,01-Aug-11,65,3
300,CS2792,01-Aug-11,99,1
301,CS1592,01-Aug-11,62,3
302,CS4957,01-Aug-11,102,1
303,CS2167,01-Aug-11,102,1
304,CS3481,01-Aug-11,48,1
305,CS1651,01-Aug-11,100,2
306,CS1542,01-Aug-11,38,3
307,CS6045,01-Aug-11,76,2
308,CS1755,01-Aug-11,76,2
309,CS3415,01-Aug-11,104,3
310,CS2116,01-Aug-11,40,2
311,CS3356,01-Aug-11,39,1
312,CS5688,01-Aug-11,63,1
313,CS5497,01-Aug-11,87,1
314,CS3898,01-Aug-11,83,3
315,CS2336,01-Aug-11,43,2
316,CS4633,01-Aug-11,66,1
317,CS1383,01-Aug-11,68,3
318,CS4009,01-Aug-11,44,3
319,CS1773,01-Aug-11,44,3
320,CS4674,01-Aug-11,87,1
321,CS3554,01-Aug-11,38,3
322,CS1123,01-Aug-11,53,3
323,CS5312,01-Aug-11,45,1
324,CS1883,01-Aug-11,95,3
325,CS3443,01-Aug-11,84,1
326,CS1851,01-Aug-11,89,3
327,CS3478,01-Aug-11,83,3
328,CS1179,01-Aug-11,83,3
329,CS2815,01-Aug-11,61,2
330,CS7820,01-Aug-11,74,3
331,CS8124,01-Aug-11,40,2
332,CS8346,01-Aug-11,43,2
333,CS7476,01-Aug-11,40,2
334,CS8890,01-Aug-11,14,3
335,CS8873,01-Aug-11,72,1
336,CS8811,01-Aug-11,46,2
337,CS8238,01-Aug-11,64,2
338,CS8975,01-Aug-11,50,3
339,CS8965,01-Aug-11,38,3
340,CS8469,01-Aug-11,68,3
341,CS8005,01-Aug-11,37,2
342,CS8585,01-Aug-11,25,2
343,CS7953,01-Aug-11,68,3
344,CS8792,01-Aug-11,78,1
345,CS7592,01-Aug-11,64,2
346,CS7542,01-Aug-11,73,2
347,CS7755,01-Aug-11,52,2
348,CS8336,01-Aug-11,69,1
349,CS7383,01-Aug-11,25,2
350,CS7773,01-Aug-11,21,1
351,CS7123,01-Aug-11,64,2
352,CS7883,01-Aug-11,61,2
353,CS1759,01-Aug-12,90,1
354,CS2736,01-Aug-12,84,1
355,CS5416,01-Aug-12,38,3
356,CS3456,01-Aug-12,55,2
357,CS2087,01-Aug-12,69,1
358,CS3468,01-Aug-12,58,2
359,CS1919,01-Aug-12,73,2
360,CS1268,01-Aug-12,40,2
361,CS4415,01-Aug-12,87,1
362,CS4012,01-Aug-12,61,2
363,CS5855,01-Aug-12,78,1
364,CS4688,01-Aug-12,69,1
365,CS4345,01-Aug-12,97,2
366,CS5820,01-Aug-12,104,3
367,CS3569,01-Aug-12,71,3
368,CS1916,01-Aug-12,80,3
369,CS5322,01-Aug-12,91,2
370,CS4902,01-Aug-12,87,1
371,CS1438,01-Aug-12,60,1
372,CS3570,01-Aug-12,50,3
373,CS2096,01-Aug-12,55,2
374,CS5784,01-Aug-12,100,2
375,CS4711,01-Aug-12,65,3
376,CS5172,01-Aug-12,59,3
377,CS5227,01-Aug-12,94,2
378,CS4625,01-Aug-12,55,2
379,CS3894,01-Aug-12,62,3
380,CS6049,01-Aug-12,42,1
381,CS5340,01-Aug-12,94,2
382,CS5115,01-Aug-12,94,2
383,CS4205,01-Aug-12,99,1
384,CS1256,01-Aug-12,45,1
385,CS4189,01-Aug-12,75,1
386,CS3475,01-Aug-12,52,2
387,CS2949,01-Aug-12,86,3
388,CS3769,01-Aug-12,41,3
389,CS2737,01-Aug-12,102,1
390,CS1293,01-Aug-12,77,3
391,CS3971,01-Aug-12,82,2
392,CS2419,01-Aug-12,96,1
393,CS3972,01-Aug-12,54,1
394,CS1822,01-Aug-12,56,3
395,CS5167,01-Aug-12,79,2
396,CS2342,01-Aug-12,65,3
397,CS2060,01-Aug-12,89,3
398,CS5972,01-Aug-12,76,2
399,CS2421,01-Aug-12,82,2
400,CS1911,01-Aug-12,64,2
401,CS2156,01-Aug-12,61,2
402,CS4419,01-Aug-12,55,2
403,CS4699,01-Aug-12,53,3
404,CS1575,01-Aug-12,66,1
405,CS4973,01-Aug-12,65,3
406,CS4612,01-Aug-12,71,3
407,CS1777,01-Aug-12,88,2
408,CS2224,01-Aug-12,77,3
409,CS5500,01-Aug-12,71,3
410,CS2776,01-Aug-12,48,1
411,CS5974,01-Aug-12,88,2
412,CS3911,01-Aug-12,56,3
413,CS5183,01-Aug-12,82,2
414,CS1858,01-Aug-12,56,3
415,CS5130,01-Aug-12,41,3
416,CS4295,01-Aug-12,78,1
417,CS3112,01-Aug-12,42,1
418,CS5182,01-Aug-12,45,1
419,CS3043,01-Aug-12,47,3
420,CS1174,01-Aug-12,65,3
421,CS7759,01-Aug-12,55,2
422,CS8736,01-Aug-12,50,3
423,CS8087,01-Aug-12,19,2
424,CS7919,01-Aug-12,20,3
425,CS7916,01-Aug-12,43,2
426,CS7438,01-Aug-12,43,2
427,CS8096,01-Aug-12,51,1
428,CS8949,01-Aug-12,78,1
429,CS8419,01-Aug-12,52,2
430,CS8342,01-Aug-12,27,1
431,CS8060,01-Aug-12,21,1
432,CS8421,01-Aug-12,69,1
433,CS7575,01-Aug-12,36,1
434,CS8776,01-Aug-12,13,2
435,CS7858,01-Aug-12,71,3
436,CS5842,01-Aug-13,73,2
437,CS5927,01-Aug-13,49,2
438,CS3579,01-Aug-13,55,2
439,CS4044,01-Aug-13,44,3
440,CS5581,01-Aug-13,63,1
441,CS2716,01-Aug-13,83,3
442,CS4101,01-Aug-13,53,3
443,CS1135,01-Aug-13,40,2
444,CS5736,01-Aug-13,45,1
445,CS4313,01-Aug-13,81,1
446,CS1479,01-Aug-13,67,2
447,CS1163,01-Aug-13,81,1
448,CS1911,01-Aug-13,60,1
449,CS5999,01-Aug-13,93,1
450,CS1835,01-Aug-13,35,3
451,CS1860,01-Aug-13,63,1
452,CS3298,01-Aug-13,64,2
453,CS2216,01-Aug-13,57,1
454,CS1718,01-Aug-13,41,3
455,CS3075,01-Aug-13,84,1
456,CS5434,01-Aug-13,101,3
457,CS4244,01-Aug-13,105,1
458,CS3734,01-Aug-13,96,1
459,CS3710,01-Aug-13,59,3
460,CS3086,01-Aug-13,45,1
461,CS5850,01-Aug-13,54,1
462,CS2906,01-Aug-13,48,1
463,CS6070,01-Aug-13,85,2
464,CS1135,01-Aug-13,86,3
465,CS2981,01-Aug-13,35,3
466,CS2345,01-Aug-13,74,3
467,CS5800,01-Aug-13,82,2
468,CS5947,01-Aug-13,69,1
469,CS2474,01-Aug-13,83,3
470,CS4074,01-Aug-13,97,2
471,CS4760,01-Aug-13,59,3
472,CS1728,01-Aug-13,99,1
473,CS1518,01-Aug-13,37,2
474,CS1660,01-Aug-13,74,3
475,CS3548,01-Aug-13,57,1
476,CS5293,01-Aug-13,46,2
477,CS4793,01-Aug-13,98,3
478,CS1223,01-Aug-13,52,2
479,CS1654,01-Aug-13,70,2
480,CS5704,01-Aug-13,82,2
481,CS1161,01-Aug-13,39,1
482,CS5784,01-Aug-13,46,2
483,CS3001,01-Aug-13,102,1
484,CS1369,01-Aug-13,85,2
485,CS4577,01-Aug-13,76,2
486,CS2703,01-Aug-13,54,1
487,CS3720,01-Aug-13,73,2
488,CS5836,01-Aug-13,84,1
489,CS3541,01-Aug-13,55,2
490,CS2733,01-Aug-13,91,2
491,CS4511,01-Aug-13,38,3
492,CS2442,01-Aug-13,88,2
493,CS3124,01-Aug-13,98,3
494,CS4654,01-Aug-13,66,1
495,CS8716,01-Aug-13,22,2
496,CS7911,01-Aug-13,23,3
497,CS7835,01-Aug-13,53,3
498,CS7860,01-Aug-13,53,3
499,CS7718,01-Aug-13,72,1
500,CS8906,01-Aug-13,39,1
501,CS8981,01-Aug-13,77,3
502,CS8345,01-Aug-13,11,3
503,CS8474,01-Aug-13,15,1
504,CS7728,01-Aug-13,39,1
505,CS7518,01-Aug-13,69,1
506,CS7660,01-Aug-13,24,1
507,CS7654,01-Aug-13,47,3
508,CS7161,01-Aug-13,43,2
509,CS7369,01-Aug-13,10,2
510,CS8703,01-Aug-13,75,1
511,CS8733,01-Aug-13,62,3
512,CS8442,01-Aug-13,70,2
513,CS5109,01-Aug-14,91,2
514,CS2998,01-Aug-14,89,3
515,CS3363,01-Aug-14,85,2
516,CS4193,01-Aug-14,74,3
517,CS4798,01-Aug-14,89,3
518,CS2467,01-Aug-14,64,2
519,CS5926,01-Aug-14,95,3
520,CS4032,01-Aug-14,75,1
521,CS3164,01-Aug-14,102,1
522,CS2481,01-Aug-14,43,2
523,CS2688,01-Aug-14,62,3
524,CS5697,01-Aug-14,93,1
525,CS1168,01-Aug-14,49,2
526,CS3151,01-Aug-14,63,1
527,CS1929,01-Aug-14,87,1
528,CS5026,01-Aug-14,76,2
529,CS2391,01-Aug-14,63,1
530,CS5916,01-Aug-14,103,2
531,CS5823,01-Aug-14,99,1
532,CS3735,01-Aug-14,98,3
533,CS5343,01-Aug-14,73,2
534,CS1349,01-Aug-14,75,1
535,CS2867,01-Aug-14,93,1
536,CS3561,01-Aug-14,63,1
537,CS2209,01-Aug-14,38,3
538,CS3223,01-Aug-14,41,3
539,CS1353,01-Aug-14,42,1
540,CS4923,01-Aug-14,41,3
541,CS2462,01-Aug-14,47,3
542,CS1351,01-Aug-14,99,1
543,CS4115,01-Aug-14,54,1
544,CS5508,01-Aug-14,37,2
545,CS1150,01-Aug-14,71,3
546,CS4996,01-Aug-14,36,1
547,CS3219,01-Aug-14,83,3
548,CS4303,01-Aug-14,41,3
549,CS2161,01-Aug-14,94,2
550,CS5163,01-Aug-14,89,3
551,CS1943,01-Aug-14,50,3
552,CS1821,01-Aug-14,37,2
553,CS1910,01-Aug-14,89,3
554,CS4297,01-Aug-14,99,1
555,CS5079,01-Aug-14,66,1
556,CS1734,01-Aug-14,54,1
557,CS3451,01-Aug-14,60,1
558,CS2449,01-Aug-14,97,2
559,CS4945,01-Aug-14,62,3
560,CS3207,01-Aug-14,73,2
561,CS5122,01-Aug-14,44,3
562,CS1796,01-Aug-14,101,3
563,CS1487,01-Aug-14,40,2
564,CS3499,01-Aug-14,68,3
565,CS3058,01-Aug-14,46,2
566,CS3928,01-Aug-14,89,3
567,CS5253,01-Aug-14,98,3
568,CS5347,01-Aug-14,44,3
569,CS4466,01-Aug-14,59,3
570,CS4073,01-Aug-14,44,3
571,CS5992,01-Aug-14,41,3
572,CS2778,01-Aug-14,69,1
573,CS2893,01-Aug-14,63,1
574,CS3491,01-Aug-14,55,2
575,CS5208,01-Aug-14,52,2
576,CS4992,01-Aug-14,44,3
577,CS4561,01-Aug-14,47,3
578,CS5739,01-Aug-14,88,2
579,CS2205,01-Aug-14,72,1
580,CS5514,01-Aug-14,40,2
581,CS2167,01-Aug-14,38,3
582,CS1255,01-Aug-14,96,1
583,CS1602,01-Aug-14,61,2
584,CS1572,01-Aug-14,97,2
585,CS2264,01-Aug-14,39,1
586,CS4000,01-Aug-14,36,1
587,CS3268,01-Aug-14,59,3
588,CS8998,01-Aug-14,35,3
589,CS8467,01-Aug-14,28,2
590,CS8481,01-Aug-14,45,1
591,CS7929,01-Aug-14,22,2
592,CS8391,01-Aug-14,73,2
593,CS7349,01-Aug-14,68,3
594,CS7353,01-Aug-14,47,3
595,CS7150,01-Aug-14,77,3
596,CS8161,01-Aug-14,25,2
597,CS7821,01-Aug-14,38,3
598,CS8449,01-Aug-14,53,3
599,CS7796,01-Aug-14,69,1
600,CS7487,01-Aug-14,41,3
601,CS8778,01-Aug-14,65,3
602,CS8893,01-Aug-14,79,2
603,CS8205,01-Aug-14,36,1
604,CS8167,01-Aug-14,41,3
605,CS7255,01-Aug-14,23,3
606,CS8264,01-Aug-14,55,2
607,CS5403,01-Dec-11,64,2
608,CS4889,01-Dec-11,38,3
609,CS4426,01-Dec-11,97,2
610,CS2651,01-Dec-11,93,1
611,CS2903,01-Dec-11,99,1
612,CS1946,01-Dec-11,45,1
613,CS2897,01-Dec-11,94,2
614,CS5204,01-Dec-11,91,2
615,CS4458,01-Dec-11,38,3
616,CS1551,01-Dec-11,93,1
617,CS4235,01-Dec-11,75,1
618,CS1523,01-Dec-11,53,3
619,CS5438,01-Dec-11,88,2
620,CS4406,01-Dec-11,54,1
621,CS4486,01-Dec-11,77,3
622,CS5189,01-Dec-11,74,3
623,CS5525,01-Dec-11,61,2
624,CS4424,01-Dec-11,47,3
625,CS2057,01-Dec-11,100,2
626,CS2162,01-Dec-11,97,2
627,CS2890,01-Dec-11,44,3
628,CS1236,01-Dec-11,53,3
629,CS1969,01-Dec-11,63,1
630,CS2538,01-Dec-11,42,1
631,CS1357,01-Dec-11,56,3
632,CS4252,01-Dec-11,74,3
633,CS5617,01-Dec-11,68,3
634,CS2226,01-Dec-11,44,3
635,CS3513,01-Dec-11,47,3
636,CS5100,01-Dec-11,94,2
637,CS3356,01-Dec-11,67,2
638,CS5899,01-Dec-11,72,1
639,CS3172,01-Dec-11,35,3
640,CS2853,01-Dec-11,36,1
641,CS5193,01-Dec-11,94,2
642,CS4618,01-Dec-11,54,1
643,CS1228,01-Dec-11,104,3
644,CS4171,01-Dec-11,59,3
645,CS4704,01-Dec-11,47,3
646,CS2621,01-Dec-11,36,1
647,CS5508,01-Dec-11,42,1
648,CS5706,01-Dec-11,52,2
649,CS4406,01-Dec-11,76,2
650,CS1798,01-Dec-11,46,2
651,CS1629,01-Dec-11,57,1
652,CS5212,01-Dec-11,70,2
653,CS3129,01-Dec-11,66,1
654,CS3888,01-Dec-11,89,3
655,CS3483,01-Dec-11,84,1
656,CS4186,01-Dec-11,101,3
657,CS3510,01-Dec-11,88,2
658,CS3581,01-Dec-11,40,2
659,CS5846,01-Dec-11,81,1
660,CS5764,01-Dec-11,77,3
661,CS2032,01-Dec-11,43,2
662,CS4275,01-Dec-11,46,2
663,CS5321,01-Dec-11,41,3
664,CS5063,01-Dec-11,41,3
665,CS1527,01-Dec-11,46,2
666,CS2145,01-Dec-11,82,2
667,CS2175,01-Dec-11,94,2
668,CS2233,01-Dec-11,52,2
669,CS3520,01-Dec-11,59,3
670,CS2234,01-Dec-11,99,1
671,CS3615,01-Dec-11,98,3
672,CS8651,01-Dec-11,29,3
673,CS7946,01-Dec-11,77,3
674,CS7551,01-Dec-11,43,2
675,CS8162,01-Dec-11,28,2
676,CS8890,01-Dec-11,12,1
677,CS7236,01-Dec-11,51,1
678,CS7969,01-Dec-11,72,1
679,CS7357,01-Dec-11,50,3
680,CS8226,01-Dec-11,61,2
681,CS7228,01-Dec-11,27,1
682,CS8621,01-Dec-11,29,3
683,CS7629,01-Dec-11,36,1
684,CS5283,01-Dec-12,63,1
685,CS5618,01-Dec-12,41,3
686,CS1792,01-Dec-12,45,1
687,CS4885,01-Dec-12,40,2
688,CS1695,01-Dec-12,54,1
689,CS1850,01-Dec-12,77,3
690,CS3024,01-Dec-12,58,2
691,CS2686,01-Dec-12,50,3
692,CS2513,01-Dec-12,81,1
693,CS5805,01-Dec-12,84,1
694,CS5742,01-Dec-12,58,2
695,CS2961,01-Dec-12,55,2
696,CS1593,01-Dec-12,74,3
697,CS3977,01-Dec-12,74,3
698,CS5383,01-Dec-12,42,1
699,CS4768,01-Dec-12,105,1
700,CS3045,01-Dec-12,45,1
701,CS4674,01-Dec-12,45,1
702,CS1765,01-Dec-12,105,1
703,CS2511,01-Dec-12,102,1
704,CS4800,01-Dec-12,85,2
705,CS4791,01-Dec-12,75,1
706,CS4405,01-Dec-12,103,2
707,CS1240,01-Dec-12,66,1
708,CS1370,01-Dec-12,44,3
709,CS4761,01-Dec-12,57,1
710,CS6110,01-Dec-12,65,3
711,CS4901,01-Dec-12,72,1
712,CS5509,01-Dec-12,94,2
713,CS2818,01-Dec-12,77,3
714,CS3576,01-Dec-12,90,1
715,CS1617,01-Dec-12,51,1
716,CS4067,01-Dec-12,64,2
717,CS3984,01-Dec-12,45,1
718,CS3590,01-Dec-12,101,3
719,CS2224,01-Dec-12,97,2
720,CS2168,01-Dec-12,100,2
721,CS2048,01-Dec-12,74,3
722,CS5369,01-Dec-12,100,2
723,CS1692,01-Dec-12,85,2
724,CS2683,01-Dec-12,55,2
725,CS3667,01-Dec-12,71,3
726,CS2657,01-Dec-12,66,1
727,CS5738,01-Dec-12,58,2
728,CS3602,01-Dec-12,99,1
729,CS4715,01-Dec-12,68,3
730,CS2085,01-Dec-12,88,2
731,CS4855,01-Dec-12,82,2
732,CS1529,01-Dec-12,99,1
733,CS4887,01-Dec-12,40,2
734,CS5815,01-Dec-12,94,2
